HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Rennes,Lens,0,2,France,Ligue 1,2020-21,2020-12-05
Montpellier,Paris Saint Germain,1,3,France,Ligue 1,2020-21,2020-12-05
Lille,Monaco,2,1,France,Ligue 1,2020-21,2020-12-06
Angers,Lorient,2,0,France,Ligue 1,2020-21,2020-12-06
Bordeaux,Brest,1,0,France,Ligue 1,2020-21,2020-12-06
Dijon,Saint-Etienne,0,0,France,Ligue 1,2020-21,2020-12-06
Nantes,Strasbourg,0,4,France,Ligue 1,2020-21,2020-12-06
Reims,Nice,0,0,France,Ligue 1,2020-21,2020-12-06
Metz,Lyon,1,3,France,Ligue 1,2020-21,2020-12-06
Saint-Etienne,Angers,0,0,France,Ligue 1,2020-21,2020-12-11
Marseille,Monaco,2,1,France,Ligue 1,2020-21,2020-12-12
Lens,Montpellier,2,3,France,Ligue 1,2020-21,2020-12-12
Nice,Rennes,0,1,France,Ligue 1,2020-21,2020-12-13
Brest,Reims,2,1,France,Ligue 1,2020-21,2020-12-13
Lorient,Nimes,3,0,France,Ligue 1,2020-21,2020-12-13
Nantes,Dijon,1,1,France,Ligue 1,2020-21,2020-12-13
Strasbourg,Metz,2,2,France,Ligue 1,2020-21,2020-12-13
Lille,Bordeaux,2,1,France,Ligue 1,2020-21,2020-12-13
Paris Saint Germain,Lyon,0,1,France,Ligue 1,2020-21,2020-12-13
Angers,Strasbourg,0,2,France,Ligue 1,2020-21,2020-12-16
Dijon,Lille,0,2,France,Ligue 1,2020-21,2020-12-16
Montpellier,Metz,0,2,France,Ligue 1,2020-21,2020-12-16
Nimes,Nice,0,2,France,Ligue 1,2020-21,2020-12-16
Reims,Nantes,3,2,France,Ligue 1,2020-21,2020-12-16
Paris Saint Germain,Lorient,2,0,France,Ligue 1,2020-21,2020-12-16
Lyon,Brest,2,2,France,Ligue 1,2020-21,2020-12-16
Monaco,Lens,0,3,France,Ligue 1,2020-21,2020-12-16
Rennes,Marseille,2,1,France,Ligue 1,2020-21,2020-12-16
Bordeaux,Saint-Etienne,1,2,France,Ligue 1,2020-21,2020-12-16
Metz,Lens,2,0,France,Ligue 1,2020-21,2020-12-19
Marseille,Reims,1,1,France,Ligue 1,2020-21,2020-12-19
Nice,Lyon,1,4,France,Ligue 1,2020-21,2020-12-19
Brest,Montpellier,2,2,France,Ligue 1,2020-21,2020-12-20
Strasbourg,Bordeaux,0,2,France,Ligue 1,2020-21,2020-12-20
Dijon,Monaco,0,1,France,Ligue 1,2020-21,2020-12-20
Nantes,Angers,1,1,France,Ligue 1,2020-21,2020-12-20
Saint-Etienne,Nimes,2,2,France,Ligue 1,2020-21,2020-12-20
Lorient,Rennes,0,3,France,Ligue 1,2020-21,2020-12-20
Lille,Paris Saint Germain,0,0,France,Ligue 1,2020-21,2020-12-20
