HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Venezia,Inter,0,2,Italy,Serie A,2021-22,2021-11-27
Udinese,Genoa,0,0,Italy,Serie A,2021-22,2021-11-28
AC Milan,Sassuolo,1,3,Italy,Serie A,2021-22,2021-11-28
Spezia,Bologna,0,1,Italy,Serie A,2021-22,2021-11-28
Roma,Torino,1,0,Italy,Serie A,2021-22,2021-11-28
Napoli,Lazio,4,0,Italy,Serie A,2021-22,2021-11-28
Atalanta,Venezia,4,0,Italy,Serie A,2021-22,2021-11-30
Fiorentina,Sampdoria,3,1,Italy,Serie A,2021-22,2021-11-30
Verona,Cagliari,0,0,Italy,Serie A,2021-22,2021-11-30
Salernitana,Juventus,0,2,Italy,Serie A,2021-22,2021-11-30
Bologna,Roma,1,0,Italy,Serie A,2021-22,2021-12-01
Inter,Spezia,2,0,Italy,Serie A,2021-22,2021-12-01
Sassuolo,Napoli,2,2,Italy,Serie A,2021-22,2021-12-01
Genoa,AC Milan,0,3,Italy,Serie A,2021-22,2021-12-01
Torino,Empoli,2,2,Italy,Serie A,2021-22,2021-12-02
Lazio,Udinese,4,4,Italy,Serie A,2021-22,2021-12-02
AC Milan,Salernitana,2,0,Italy,Serie A,2021-22,2021-12-04
Roma,Inter,0,3,Italy,Serie A,2021-22,2021-12-04
Napoli,Atalanta,2,3,Italy,Serie A,2021-22,2021-12-04
Bologna,Fiorentina,2,3,Italy,Serie A,2021-22,2021-12-05
Venezia,Verona,3,4,Italy,Serie A,2021-22,2021-12-05
Spezia,Sassuolo,2,2,Italy,Serie A,2021-22,2021-12-05
Sampdoria,Lazio,1,3,Italy,Serie A,2021-22,2021-12-05
Juventus,Genoa,2,0,Italy,Serie A,2021-22,2021-12-05
Empoli,Udinese,3,1,Italy,Serie A,2021-22,2021-12-06
Cagliari,Torino,1,1,Italy,Serie A,2021-22,2021-12-06
Genoa,Sampdoria,1,3,Italy,Serie A,2021-22,2021-12-10
Fiorentina,Salernitana,4,0,Italy,Serie A,2021-22,2021-12-11
Venezia,Juventus,1,1,Italy,Serie A,2021-22,2021-12-11
Udinese,AC Milan,1,1,Italy,Serie A,2021-22,2021-12-11
Torino,Bologna,2,1,Italy,Serie A,2021-22,2021-12-12
Verona,Atalanta,1,2,Italy,Serie A,2021-22,2021-12-12
Napoli,Empoli,0,1,Italy,Serie A,2021-22,2021-12-12
Sassuolo,Lazio,2,1,Italy,Serie A,2021-22,2021-12-12
Inter,Cagliari,4,0,Italy,Serie A,2021-22,2021-12-12
Roma,Spezia,2,0,Italy,Serie A,2021-22,2021-12-13
Lazio,Genoa,3,1,Italy,Serie A,2021-22,2021-12-17
Salernitana,Inter,0,5,Italy,Serie A,2021-22,2021-12-17
Atalanta,Roma,1,4,Italy,Serie A,2021-22,2021-12-18
Bologna,Juventus,0,2,Italy,Serie A,2021-22,2021-12-18
Cagliari,Udinese,0,4,Italy,Serie A,2021-22,2021-12-18
Fiorentina,Sassuolo,2,2,Italy,Serie A,2021-22,2021-12-19
Spezia,Empoli,1,1,Italy,Serie A,2021-22,2021-12-19
Sampdoria,Venezia,1,1,Italy,Serie A,2021-22,2021-12-19
Torino,Verona,1,0,Italy,Serie A,2021-22,2021-12-19
AC Milan,Napoli,0,1,Italy,Serie A,2021-22,2021-12-19
Juventus,Cagliari,2,0,Italy,Serie A,2021-22,2021-12-21
Genoa,Atalanta,0,0,Italy,Serie A,2021-22,2021-12-21
Sassuolo,Bologna,0,3,Italy,Serie A,2021-22,2021-12-22
Venezia,Lazio,1,3,Italy,Serie A,2021-22,2021-12-22
Verona,Fiorentina,1,1,Italy,Serie A,2021-22,2021-12-22
Inter,Torino,1,0,Italy,Serie A,2021-22,2021-12-22
Roma,Sampdoria,1,1,Italy,Serie A,2021-22,2021-12-22
Empoli,AC Milan,2,4,Italy,Serie A,2021-22,2021-12-22
Napoli,Spezia,0,1,Italy,Serie A,2021-22,2021-12-22
Sampdoria,Cagliari,1,2,Italy,Serie A,2021-22,2022-01-06
Lazio,Empoli,3,3,Italy,Serie A,2021-22,2022-01-06
Spezia,Verona,1,2,Italy,Serie A,2021-22,2022-01-06
Sassuolo,Genoa,1,1,Italy,Serie A,2021-22,2022-01-06
AC Milan,Roma,3,1,Italy,Serie A,2021-22,2022-01-06
Juventus,Napoli,1,1,Italy,Serie A,2021-22,2022-01-06
Venezia,AC Milan,0,3,Italy,Serie A,2021-22,2022-01-09
Empoli,Sassuolo,1,5,Italy,Serie A,2021-22,2022-01-09
Udinese,Atalanta,2,6,Italy,Serie A,2021-22,2022-01-09
Napoli,Sampdoria,1,0,Italy,Serie A,2021-22,2022-01-09
