Date,HomeTeam,AwayTeam,HG,AG,Season
2016-03-12,Hoffenheim,Wolfsburg,1,0,2015-16
2016-03-12,M'gladbach,Ein Frankfurt,3,0,2015-16
2016-03-12,Darmstadt,Augsburg,2,2,2015-16
2016-03-12,Bayern Munich,Werder Bremen,5,0,2015-16
2016-03-12,Hannover,FC Koln,0,2,2015-16
2016-03-13,Leverkusen,Hamburg,1,0,2015-16
2016-03-13,Dortmund,Mainz,2,0,2015-16
2016-03-18,Schalke 04,M'gladbach,2,1,2015-16
2016-03-19,Ein Frankfurt,Hannover,1,0,2015-16
2016-03-19,FC Koln,Bayern Munich,0,1,2015-16
2016-03-19,Hamburg,Hoffenheim,1,3,2015-16
2016-03-19,Hertha,Ingolstadt,2,1,2015-16
2016-03-19,Werder Bremen,Mainz,1,1,2015-16
2016-03-19,Wolfsburg,Darmstadt,1,1,2015-16
2016-03-20,Augsburg,Dortmund,1,3,2015-16
2016-03-20,Stuttgart,Leverkusen,0,2,2015-16
2016-04-01,Leverkusen,Wolfsburg,3,0,2015-16
2016-04-02,Mainz,Augsburg,4,2,2015-16
2016-04-02,Ingolstadt,Schalke 04,3,0,2015-16
2016-04-02,Hannover,Hamburg,0,3,2015-16
2016-04-02,Bayern Munich,Ein Frankfurt,1,0,2015-16
2016-04-02,Darmstadt,Stuttgart,2,2,2015-16
2016-04-02,Dortmund,Werder Bremen,3,2,2015-16
2016-04-03,Hoffenheim,FC Koln,1,1,2015-16
2016-04-03,M'gladbach,Hertha,5,0,2015-16
2016-04-08,Hertha,Hannover,2,2,2015-16
2016-04-09,Werder Bremen,Augsburg,1,2,2015-16
2016-04-09,Wolfsburg,Mainz,1,1,2015-16
2016-04-09,Stuttgart,Bayern Munich,1,3,2015-16
2016-04-09,Ein Frankfurt,Hoffenheim,0,2,2015-16
2016-04-09,Hamburg,Darmstadt,1,2,2015-16
2016-04-09,Ingolstadt,M'gladbach,1,0,2015-16
2016-04-10,FC Koln,Leverkusen,0,2,2015-16
2016-04-10,Schalke 04,Dortmund,2,2,2015-16
2016-04-15,Hannover,M'gladbach,2,0,2015-16
2016-04-16,Werder Bremen,Wolfsburg,3,2,2015-16
2016-04-16,Leverkusen,Ein Frankfurt,3,0,2015-16
2016-04-16,Hoffenheim,Hertha,2,1,2015-16
2016-04-16,Bayern Munich,Schalke 04,3,0,2015-16
2016-04-16,Augsburg,Stuttgart,1,0,2015-16
2016-04-16,Darmstadt,Ingolstadt,2,0,2015-16
2016-04-17,Dortmund,Hamburg,3,0,2015-16
2016-04-17,Mainz,FC Koln,2,3,2015-16
2016-04-22,Hamburg,Werder Bremen,2,1,2015-16
2016-04-23,Stuttgart,Dortmund,0,3,2015-16
2016-04-23,Wolfsburg,Augsburg,0,2,2015-16
2016-04-23,Schalke 04,Leverkusen,2,3,2015-16
2016-04-23,Hertha,Bayern Munich,0,2,2015-16
2016-04-23,Ingolstadt,Hannover,2,2,2015-16
2016-04-23,FC Koln,Darmstadt,4,1,2015-16
2016-04-24,Ein Frankfurt,Mainz,2,1,2015-16
2016-04-24,M'gladbach,Hoffenheim,3,1,2015-16
2016-04-29,Augsburg,FC Koln,0,0,2015-16
2016-04-30,Mainz,Hamburg,0,0,2015-16
2016-04-30,Leverkusen,Hertha,2,1,2015-16
2016-04-30,Hoffenheim,Ingolstadt,2,1,2015-16
2016-04-30,Hannover,Schalke 04,1,3,2015-16
2016-04-30,Dortmund,Wolfsburg,5,1,2015-16
2016-04-30,Darmstadt,Ein Frankfurt,1,2,2015-16
2016-04-30,Bayern Munich,M'gladbach,1,1,2015-16
2016-05-02,Werder Bremen,Stuttgart,6,2,2015-16
2016-05-07,Stuttgart,Mainz,1,3,2015-16
2016-05-07,Schalke 04,Augsburg,1,1,2015-16
2016-05-07,M'gladbach,Leverkusen,2,1,2015-16
2016-05-07,Ingolstadt,Bayern Munich,1,2,2015-16
2016-05-07,Hannover,Hoffenheim,1,0,2015-16
2016-05-07,Hamburg,Wolfsburg,0,1,2015-16
2016-05-07,FC Koln,Werder Bremen,0,0,2015-16
2016-05-07,Ein Frankfurt,Dortmund,1,0,2015-16
2016-05-07,Hertha,Darmstadt,1,2,2015-16
2016-05-14,Augsburg,Hamburg,1,3,2015-16
2016-05-14,Bayern Munich,Hannover,3,1,2015-16
2016-05-14,Darmstadt,M'gladbach,0,2,2015-16
2016-05-14,Dortmund,FC Koln,2,2,2015-16
2016-05-14,Hoffenheim,Schalke 04,1,4,2015-16
2016-05-14,Leverkusen,Ingolstadt,3,2,2015-16
2016-05-14,Mainz,Hertha,0,0,2015-16
2016-05-14,Werder Bremen,Ein Frankfurt,1,0,2015-16
2016-05-14,Wolfsburg,Stuttgart,3,1,2015-16
